,action_stage_1,state_of_stage_2,transition_type,reward,probs,correct,delta_q
0,1.0,1.0,1,0.0,0.5,0.0,0.0
1,1.0,1.0,1,0.0,0.09256534810852546,0.0,0.0
2,1.0,1.0,1,0.0,0.09256534810852546,0.0,0.0
3,1.0,1.0,1,0.0,0.09256534810852546,0.0,0.0
4,0.0,0.0,1,0.0,0.09256534810852546,0.0,0.0
5,0.0,0.0,1,1.0,0.9074346518914745,0.0,0.0
6,1.0,1.0,1,0.0,0.5424904713311168,0.0,0.0
7,1.0,1.0,1,1.0,0.09256534810852546,0.0,0.0
8,1.0,1.0,1,1.0,0.45750952866888317,0.0,0.0
9,0.0,0.0,1,1.0,0.45750952866888317,0.0,0.0
10,0.0,0.0,1,0.0,0.5424904713311168,0.0,0.0
11,0.0,0.0,1,1.0,0.9074346518914745,0.0,0.0
12,0.0,1.0,0,0.0,0.5424904713311168,0.0,0.0
13,0.0,0.0,1,0.0,0.9074346518914745,0.0,0.0
14,0.0,0.0,1,1.0,0.9074346518914745,0.0,0.0
15,0.0,0.0,1,1.0,0.5424904713311168,0.0,0.0
16,0.0,1.0,0,1.0,0.5424904713311168,0.0,0.0
17,0.0,0.0,1,1.0,0.5424904713311168,0.0,0.0
18,0.0,1.0,0,0.0,0.5424904713311168,0.0,0.0
19,1.0,0.0,0,1.0,0.9074346518914745,0.0,0.0
20,0.0,0.0,1,1.0,0.45750952866888317,0.0,0.0
21,0.0,0.0,1,1.0,0.5424904713311168,0.0,0.0
22,1.0,1.0,1,0.0,0.5424904713311168,0.0,0.0
23,1.0,1.0,1,0.0,0.09256534810852546,0.0,0.0
24,1.0,1.0,1,0.0,0.09256534810852546,0.0,0.0
25,1.0,1.0,1,1.0,0.09256534810852546,1.0,0.0
26,1.0,1.0,1,1.0,0.45750952866888317,1.0,0.0
27,1.0,0.0,0,0.0,0.45750952866888317,1.0,0.0
28,1.0,1.0,1,1.0,0.09256534810852546,1.0,0.0
29,0.0,1.0,0,1.0,0.45750952866888317,1.0,0.0
30,1.0,1.0,1,1.0,0.5424904713311168,1.0,0.0
31,0.0,0.0,1,0.0,0.45750952866888317,1.0,0.0
32,0.0,0.0,1,0.0,0.9074346518914745,1.0,0.0
33,0.0,0.0,1,0.0,0.9074346518914745,1.0,0.0
34,1.0,1.0,1,1.0,0.9074346518914745,1.0,0.0
35,1.0,1.0,1,1.0,0.45750952866888317,1.0,0.0
36,0.0,0.0,1,0.0,0.45750952866888317,1.0,0.0
37,1.0,1.0,1,1.0,0.9074346518914745,1.0,0.0
38,0.0,0.0,1,1.0,0.45750952866888317,1.0,0.0
39,0.0,0.0,1,1.0,0.5424904713311168,1.0,0.0
40,0.0,0.0,1,0.0,0.5424904713311168,1.0,0.0
41,0.0,0.0,1,0.0,0.9074346518914745,1.0,0.0
42,0.0,0.0,1,0.0,0.9074346518914745,1.0,0.0
43,0.0,0.0,1,0.0,0.9074346518914745,1.0,0.0
44,0.0,1.0,0,1.0,0.9074346518914745,1.0,0.0
45,0.0,0.0,1,0.0,0.5424904713311168,1.0,0.0
46,0.0,0.0,1,0.0,0.9074346518914745,1.0,0.0
47,0.0,0.0,1,0.0,0.9074346518914745,1.0,0.0
48,0.0,0.0,1,0.0,0.9074346518914745,1.0,0.0
49,0.0,1.0,0,1.0,0.9074346518914745,1.0,0.0
