,action_stage_1,transition_type,reward,prev_reward,transition_prev,stay
0,0.0,1.0,1.0,0.0,0.0,False
1,0.0,0.0,0.0,1.0,1.0,True
2,0.0,0.0,1.0,0.0,0.0,True
3,1.0,0.0,1.0,1.0,0.0,False
4,0.0,1.0,1.0,1.0,0.0,False
5,0.0,1.0,1.0,1.0,1.0,True
6,0.0,1.0,1.0,1.0,1.0,True
7,1.0,1.0,0.0,1.0,1.0,False
8,0.0,1.0,1.0,0.0,1.0,False
9,0.0,0.0,0.0,1.0,1.0,True
10,0.0,1.0,1.0,0.0,0.0,True
11,0.0,1.0,1.0,1.0,1.0,True
12,0.0,1.0,1.0,1.0,1.0,True
13,0.0,1.0,0.0,1.0,1.0,True
14,0.0,1.0,1.0,0.0,1.0,True
15,0.0,1.0,1.0,1.0,1.0,True
16,0.0,1.0,1.0,1.0,1.0,True
17,0.0,1.0,1.0,1.0,1.0,True
18,0.0,0.0,0.0,1.0,1.0,True
19,0.0,1.0,1.0,0.0,0.0,True
20,0.0,1.0,0.0,1.0,1.0,True
21,0.0,1.0,1.0,0.0,1.0,True
22,0.0,0.0,0.0,1.0,1.0,True
23,0.0,1.0,1.0,0.0,0.0,True
24,0.0,1.0,1.0,1.0,1.0,True
25,0.0,1.0,1.0,1.0,1.0,True
26,0.0,1.0,1.0,1.0,1.0,True
27,0.0,1.0,1.0,1.0,1.0,True
28,0.0,1.0,1.0,1.0,1.0,True
29,0.0,1.0,1.0,1.0,1.0,True
30,0.0,1.0,0.0,1.0,1.0,True
31,0.0,1.0,1.0,0.0,1.0,True
32,0.0,1.0,1.0,1.0,1.0,True
33,0.0,1.0,1.0,1.0,1.0,True
34,0.0,1.0,1.0,1.0,1.0,True
35,0.0,0.0,0.0,1.0,1.0,True
36,0.0,1.0,1.0,0.0,0.0,True
37,0.0,1.0,1.0,1.0,1.0,True
38,0.0,1.0,1.0,1.0,1.0,True
39,0.0,1.0,1.0,1.0,1.0,True
40,0.0,1.0,1.0,1.0,1.0,True
41,0.0,1.0,1.0,1.0,1.0,True
42,0.0,1.0,1.0,1.0,1.0,True
43,0.0,1.0,1.0,1.0,1.0,True
44,0.0,1.0,1.0,1.0,1.0,True
45,0.0,1.0,0.0,1.0,1.0,True
46,0.0,1.0,1.0,0.0,1.0,True
47,0.0,1.0,1.0,1.0,1.0,True
48,0.0,1.0,1.0,1.0,1.0,True
49,0.0,0.0,0.0,1.0,1.0,True
50,0.0,1.0,1.0,0.0,0.0,True
